training
lr, dw 5e-05 1e-12
test tensor(0.0536, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0501, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0478, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0453, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0429, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0406, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0389, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0360, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0337, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0321, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0302, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0286, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
lr, dw 5e-05 1e-12
test tensor(0.2056, grad_fn=<MeanBackward0>) dev tensor(0.0018, grad_fn=<SelectBackward>)
test tensor(0.2048, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.2007, grad_fn=<MeanBackward0>) dev tensor(0.0011, grad_fn=<SelectBackward>)
test tensor(0.1965, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.1924, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1879, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1831, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1780, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.1726, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1656, grad_fn=<MeanBackward0>) dev tensor(0.0011, grad_fn=<SelectBackward>)
test tensor(0.1598, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.1539, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.1484, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1414, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1353, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1280, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1222, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1151, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1098, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1043, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0991, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0937, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0880, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0831, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0778, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0751, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0700, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0665, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0632, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0598, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0563, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0531, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0498, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0473, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0444, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0422, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0396, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0377, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0352, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0334, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0308, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0290, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0277, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0260, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0239, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0228, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0217, grad_fn=<MeanBackward0>) dev tensor(8.9047e-05, grad_fn=<SelectBackward>)
test tensor(0.0199, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0187, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0177, grad_fn=<MeanBackward0>) dev tensor(8.7405e-05, grad_fn=<SelectBackward>)
test tensor(0.0164, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0151, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0139, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0129, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0121, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
lr, dw 5e-05 1e-12
test tensor(0.1174, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1109, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1040, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.0989, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0924, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0857, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0799, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0737, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0677, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0624, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0571, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0532, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0482, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0444, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0401, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0368, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0334, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
lr, dw 5e-05 1e-12
test tensor(0.1412, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1369, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1321, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.1282, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1241, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1186, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
lr, dw 5e-05 1e-12
test tensor(0.0904, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.0843, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0790, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0737, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0685, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0626, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0576, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0525, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0482, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0439, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0404, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0363, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0327, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0296, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0261, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0237, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0210, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0188, grad_fn=<MeanBackward0>) dev tensor(9.3198e-05, grad_fn=<SelectBackward>)
test tensor(0.0164, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0141, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0127, grad_fn=<MeanBackward0>) dev tensor(6.9057e-05, grad_fn=<SelectBackward>)
test tensor(0.0107, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0092, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0082, grad_fn=<MeanBackward0>) dev tensor(4.7094e-05, grad_fn=<SelectBackward>)
test tensor(0.0069, grad_fn=<MeanBackward0>) dev tensor(9.3975e-05, grad_fn=<SelectBackward>)
test tensor(0.0060, grad_fn=<MeanBackward0>) dev tensor(5.5158e-05, grad_fn=<SelectBackward>)
test tensor(0.0050, grad_fn=<MeanBackward0>) dev tensor(5.6817e-05, grad_fn=<SelectBackward>)
test tensor(0.0044, grad_fn=<MeanBackward0>) dev tensor(3.9256e-05, grad_fn=<SelectBackward>)
test tensor(0.0036, grad_fn=<MeanBackward0>) dev tensor(3.0347e-05, grad_fn=<SelectBackward>)
test tensor(0.0029, grad_fn=<MeanBackward0>) dev tensor(2.9762e-05, grad_fn=<SelectBackward>)
test tensor(0.0024, grad_fn=<MeanBackward0>) dev tensor(2.7382e-05, grad_fn=<SelectBackward>)
test tensor(0.0019, grad_fn=<MeanBackward0>) dev tensor(2.5519e-05, grad_fn=<SelectBackward>)
test tensor(0.0016, grad_fn=<MeanBackward0>) dev tensor(2.4042e-05, grad_fn=<SelectBackward>)
test tensor(0.0013, grad_fn=<MeanBackward0>) dev tensor(2.2507e-05, grad_fn=<SelectBackward>)
test tensor(0.0011, grad_fn=<MeanBackward0>) dev tensor(2.4079e-05, grad_fn=<SelectBackward>)
test tensor(0.0011, grad_fn=<MeanBackward0>) dev tensor(7.3247e-05, grad_fn=<SelectBackward>)
test tensor(0.0010, grad_fn=<MeanBackward0>) dev tensor(2.0703e-05, grad_fn=<SelectBackward>)
test tensor(0.0010, grad_fn=<MeanBackward0>) dev tensor(4.9467e-05, grad_fn=<SelectBackward>)
test tensor(0.0010, grad_fn=<MeanBackward0>) dev tensor(1.9992e-05, grad_fn=<SelectBackward>)
test tensor(0.0011, grad_fn=<MeanBackward0>) dev tensor(2.5706e-05, grad_fn=<SelectBackward>)
test tensor(0.0013, grad_fn=<MeanBackward0>) dev tensor(2.2061e-05, grad_fn=<SelectBackward>)
test tensor(0.0015, grad_fn=<MeanBackward0>) dev tensor(1.7004e-05, grad_fn=<SelectBackward>)
test tensor(0.0017, grad_fn=<MeanBackward0>) dev tensor(1.6790e-05, grad_fn=<SelectBackward>)
test tensor(0.0019, grad_fn=<MeanBackward0>) dev tensor(3.3880e-05, grad_fn=<SelectBackward>)
test tensor(0.0022, grad_fn=<MeanBackward0>) dev tensor(2.8551e-05, grad_fn=<SelectBackward>)
test tensor(0.0025, grad_fn=<MeanBackward0>) dev tensor(3.6689e-05, grad_fn=<SelectBackward>)
test tensor(0.0028, grad_fn=<MeanBackward0>) dev tensor(3.0638e-05, grad_fn=<SelectBackward>)
test tensor(0.0031, grad_fn=<MeanBackward0>) dev tensor(4.1719e-05, grad_fn=<SelectBackward>)
lr, dw 5e-05 1e-12
test tensor(0.1602, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1550, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.1494, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1435, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1378, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1321, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1266, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1213, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1153, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1099, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1050, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.1006, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0961, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0904, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.0866, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0824, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0779, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0741, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
lr, dw 5e-05 1e-12
test tensor(0.1590, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1543, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1491, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1432, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1363, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1288, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1216, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1142, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1072, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1014, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0950, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0882, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0829, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0775, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0724, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0678, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0629, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0593, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0549, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0509, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0479, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0451, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0424, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0391, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0370, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0339, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0322, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0294, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0280, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0257, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0237, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0222, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
lr, dw 5e-05 1e-12
test tensor(0.1249, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1211, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1179, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1133, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1088, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1049, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
lr, dw 5e-05 1e-12
test tensor(0.1687, grad_fn=<MeanBackward0>) dev tensor(0.0011, grad_fn=<SelectBackward>)
test tensor(0.1632, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1566, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1500, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1428, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1369, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1300, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1231, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1164, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1115, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1063, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.1012, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0961, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0917, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0874, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0839, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0803, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0764, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0728, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0690, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0666, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0634, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0603, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0576, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0552, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0524, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0495, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0478, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0452, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0431, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0409, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0383, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0363, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0345, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0329, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0312, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
lr, dw 5e-05 1e-12
test tensor(0.2195, grad_fn=<MeanBackward0>) dev tensor(0.0011, grad_fn=<SelectBackward>)
test tensor(0.2119, grad_fn=<MeanBackward0>) dev tensor(0.0012, grad_fn=<SelectBackward>)
test tensor(0.2039, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.1949, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.1857, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.1766, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1673, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
