params,test_err, norm:  [ 0.67978389 -0.68875495] 0.012951041315414327 16.08838445522109 16.08838445522109
test tensor(0.0071, grad_fn=<MeanBackward0>) dev tensor(7.4848e-05, grad_fn=<SelectBackward>)
test tensor(0.0060, grad_fn=<MeanBackward0>) dev tensor(3.6602e-05, grad_fn=<SelectBackward>)
test tensor(0.0051, grad_fn=<MeanBackward0>) dev tensor(3.4011e-05, grad_fn=<SelectBackward>)
test tensor(0.0041, grad_fn=<MeanBackward0>) dev tensor(3.9310e-05, grad_fn=<SelectBackward>)
test tensor(0.0034, grad_fn=<MeanBackward0>) dev tensor(3.1895e-05, grad_fn=<SelectBackward>)
test tensor(0.0030, grad_fn=<MeanBackward0>) dev tensor(4.0260e-05, grad_fn=<SelectBackward>)
test tensor(0.0026, grad_fn=<MeanBackward0>) dev tensor(3.3781e-05, grad_fn=<SelectBackward>)
test tensor(0.0023, grad_fn=<MeanBackward0>) dev tensor(2.7597e-05, grad_fn=<SelectBackward>)
test tensor(0.0021, grad_fn=<MeanBackward0>) dev tensor(4.5135e-05, grad_fn=<SelectBackward>)
test tensor(0.0022, grad_fn=<MeanBackward0>) dev tensor(2.3425e-05, grad_fn=<SelectBackward>)
test tensor(0.0023, grad_fn=<MeanBackward0>) dev tensor(2.5252e-05, grad_fn=<SelectBackward>)
test tensor(0.0025, grad_fn=<MeanBackward0>) dev tensor(2.0633e-05, grad_fn=<SelectBackward>)
test tensor(0.0028, grad_fn=<MeanBackward0>) dev tensor(1.8938e-05, grad_fn=<SelectBackward>)
test tensor(0.0031, grad_fn=<MeanBackward0>) dev tensor(2.4441e-05, grad_fn=<SelectBackward>)
test tensor(0.0035, grad_fn=<MeanBackward0>) dev tensor(2.2575e-05, grad_fn=<SelectBackward>)
test tensor(0.0040, grad_fn=<MeanBackward0>) dev tensor(9.2136e-05, grad_fn=<SelectBackward>)
test tensor(0.0047, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0053, grad_fn=<MeanBackward0>) dev tensor(1.8554e-05, grad_fn=<SelectBackward>)
test tensor(0.0057, grad_fn=<MeanBackward0>) dev tensor(7.3181e-05, grad_fn=<SelectBackward>)
test tensor(0.0063, grad_fn=<MeanBackward0>) dev tensor(3.1145e-05, grad_fn=<SelectBackward>)
test tensor(0.0069, grad_fn=<MeanBackward0>) dev tensor(2.5135e-05, grad_fn=<SelectBackward>)
test tensor(0.0076, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0083, grad_fn=<MeanBackward0>) dev tensor(3.9594e-05, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-06
test tensor(0.1805, grad_fn=<MeanBackward0>) dev tensor(0.0011, grad_fn=<SelectBackward>)
test tensor(0.1729, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1630, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1501, grad_fn=<MeanBackward0>) dev tensor(0.0011, grad_fn=<SelectBackward>)
test tensor(0.1381, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1252, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1136, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1050, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0932, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0840, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0754, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0655, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.0603, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0539, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0490, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0433, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0388, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0351, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0313, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0274, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0241, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0217, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0195, grad_fn=<MeanBackward0>) dev tensor(9.2238e-05, grad_fn=<SelectBackward>)
test tensor(0.0172, grad_fn=<MeanBackward0>) dev tensor(8.3062e-05, grad_fn=<SelectBackward>)
test tensor(0.0151, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0131, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0117, grad_fn=<MeanBackward0>) dev tensor(7.9944e-05, grad_fn=<SelectBackward>)
test tensor(0.0104, grad_fn=<MeanBackward0>) dev tensor(8.5846e-05, grad_fn=<SelectBackward>)
test tensor(0.0092, grad_fn=<MeanBackward0>) dev tensor(4.7482e-05, grad_fn=<SelectBackward>)
test tensor(0.0080, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0073, grad_fn=<MeanBackward0>) dev tensor(7.4939e-05, grad_fn=<SelectBackward>)
test tensor(0.0065, grad_fn=<MeanBackward0>) dev tensor(5.5950e-05, grad_fn=<SelectBackward>)
test tensor(0.0059, grad_fn=<MeanBackward0>) dev tensor(3.4173e-05, grad_fn=<SelectBackward>)
test tensor(0.0055, grad_fn=<MeanBackward0>) dev tensor(3.3410e-05, grad_fn=<SelectBackward>)
test tensor(0.0052, grad_fn=<MeanBackward0>) dev tensor(3.1866e-05, grad_fn=<SelectBackward>)
test tensor(0.0049, grad_fn=<MeanBackward0>) dev tensor(7.2729e-05, grad_fn=<SelectBackward>)
test tensor(0.0049, grad_fn=<MeanBackward0>) dev tensor(5.5855e-05, grad_fn=<SelectBackward>)
test tensor(0.0049, grad_fn=<MeanBackward0>) dev tensor(2.2856e-05, grad_fn=<SelectBackward>)
test tensor(0.0051, grad_fn=<MeanBackward0>) dev tensor(2.1040e-05, grad_fn=<SelectBackward>)
test tensor(0.0053, grad_fn=<MeanBackward0>) dev tensor(4.6038e-05, grad_fn=<SelectBackward>)
test tensor(0.0056, grad_fn=<MeanBackward0>) dev tensor(2.5652e-05, grad_fn=<SelectBackward>)
test tensor(0.0057, grad_fn=<MeanBackward0>) dev tensor(2.3737e-05, grad_fn=<SelectBackward>)
test tensor(0.0061, grad_fn=<MeanBackward0>) dev tensor(1.7456e-05, grad_fn=<SelectBackward>)
test tensor(0.0065, grad_fn=<MeanBackward0>) dev tensor(1.7139e-05, grad_fn=<SelectBackward>)
test tensor(0.0069, grad_fn=<MeanBackward0>) dev tensor(1.8904e-05, grad_fn=<SelectBackward>)
test tensor(0.0078, grad_fn=<MeanBackward0>) dev tensor(1.9481e-05, grad_fn=<SelectBackward>)
test tensor(0.0083, grad_fn=<MeanBackward0>) dev tensor(1.6940e-05, grad_fn=<SelectBackward>)
test tensor(0.0089, grad_fn=<MeanBackward0>) dev tensor(4.1967e-05, grad_fn=<SelectBackward>)
test tensor(0.0096, grad_fn=<MeanBackward0>) dev tensor(3.0331e-05, grad_fn=<SelectBackward>)
test tensor(0.0101, grad_fn=<MeanBackward0>) dev tensor(7.8929e-05, grad_fn=<SelectBackward>)
test tensor(0.0111, grad_fn=<MeanBackward0>) dev tensor(3.6221e-05, grad_fn=<SelectBackward>)
test tensor(0.0117, grad_fn=<MeanBackward0>) dev tensor(4.3049e-05, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-06
test tensor(0.1150, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1031, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.0924, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.0814, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0730, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0612, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.0544, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0477, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0392, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0349, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0298, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0251, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0218, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0175, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0155, grad_fn=<MeanBackward0>) dev tensor(7.9228e-05, grad_fn=<SelectBackward>)
test tensor(0.0126, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0108, grad_fn=<MeanBackward0>) dev tensor(7.0833e-05, grad_fn=<SelectBackward>)
test tensor(0.0092, grad_fn=<MeanBackward0>) dev tensor(5.9519e-05, grad_fn=<SelectBackward>)
test tensor(0.0076, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0071, grad_fn=<MeanBackward0>) dev tensor(4.0404e-05, grad_fn=<SelectBackward>)
test tensor(0.0056, grad_fn=<MeanBackward0>) dev tensor(8.5658e-05, grad_fn=<SelectBackward>)
test tensor(0.0057, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0047, grad_fn=<MeanBackward0>) dev tensor(2.9368e-05, grad_fn=<SelectBackward>)
test tensor(0.0046, grad_fn=<MeanBackward0>) dev tensor(5.4655e-05, grad_fn=<SelectBackward>)
test tensor(0.0042, grad_fn=<MeanBackward0>) dev tensor(3.1897e-05, grad_fn=<SelectBackward>)
test tensor(0.0042, grad_fn=<MeanBackward0>) dev tensor(4.2678e-05, grad_fn=<SelectBackward>)
test tensor(0.0043, grad_fn=<MeanBackward0>) dev tensor(6.9123e-05, grad_fn=<SelectBackward>)
test tensor(0.0043, grad_fn=<MeanBackward0>) dev tensor(2.3247e-05, grad_fn=<SelectBackward>)
test tensor(0.0045, grad_fn=<MeanBackward0>) dev tensor(1.9230e-05, grad_fn=<SelectBackward>)
test tensor(0.0050, grad_fn=<MeanBackward0>) dev tensor(9.8712e-05, grad_fn=<SelectBackward>)
test tensor(0.0052, grad_fn=<MeanBackward0>) dev tensor(6.3631e-05, grad_fn=<SelectBackward>)
test tensor(0.0058, grad_fn=<MeanBackward0>) dev tensor(1.8393e-05, grad_fn=<SelectBackward>)
test tensor(0.0064, grad_fn=<MeanBackward0>) dev tensor(2.3196e-05, grad_fn=<SelectBackward>)
test tensor(0.0070, grad_fn=<MeanBackward0>) dev tensor(3.0091e-05, grad_fn=<SelectBackward>)
test tensor(0.0077, grad_fn=<MeanBackward0>) dev tensor(1.7175e-05, grad_fn=<SelectBackward>)
test tensor(0.0082, grad_fn=<MeanBackward0>) dev tensor(4.2013e-05, grad_fn=<SelectBackward>)
test tensor(0.0090, grad_fn=<MeanBackward0>) dev tensor(1.6764e-05, grad_fn=<SelectBackward>)
test tensor(0.0095, grad_fn=<MeanBackward0>) dev tensor(6.8129e-05, grad_fn=<SelectBackward>)
test tensor(0.0106, grad_fn=<MeanBackward0>) dev tensor(4.9154e-05, grad_fn=<SelectBackward>)
test tensor(0.0111, grad_fn=<MeanBackward0>) dev tensor(7.3478e-05, grad_fn=<SelectBackward>)
test tensor(0.0120, grad_fn=<MeanBackward0>) dev tensor(6.8272e-05, grad_fn=<SelectBackward>)
test tensor(0.0127, grad_fn=<MeanBackward0>) dev tensor(8.6976e-05, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-06
test tensor(0.1537, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1438, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1333, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1227, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1131, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1036, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.0952, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0874, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0778, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0695, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0629, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0564, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0513, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0450, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0404, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0359, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0314, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0280, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-06
test tensor(0.1538, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1440, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1333, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1210, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.1080, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0954, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0853, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0749, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0650, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0570, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0500, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0432, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0372, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0329, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0283, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0239, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0206, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0191, grad_fn=<MeanBackward0>) dev tensor(8.9580e-05, grad_fn=<SelectBackward>)
test tensor(0.0157, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0129, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0109, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0097, grad_fn=<MeanBackward0>) dev tensor(6.1419e-05, grad_fn=<SelectBackward>)
test tensor(0.0081, grad_fn=<MeanBackward0>) dev tensor(6.1634e-05, grad_fn=<SelectBackward>)
test tensor(0.0072, grad_fn=<MeanBackward0>) dev tensor(4.2655e-05, grad_fn=<SelectBackward>)
test tensor(0.0064, grad_fn=<MeanBackward0>) dev tensor(4.4346e-05, grad_fn=<SelectBackward>)
test tensor(0.0053, grad_fn=<MeanBackward0>) dev tensor(4.5937e-05, grad_fn=<SelectBackward>)
test tensor(0.0051, grad_fn=<MeanBackward0>) dev tensor(8.5491e-05, grad_fn=<SelectBackward>)
test tensor(0.0044, grad_fn=<MeanBackward0>) dev tensor(7.8808e-05, grad_fn=<SelectBackward>)
test tensor(0.0043, grad_fn=<MeanBackward0>) dev tensor(3.8682e-05, grad_fn=<SelectBackward>)
test tensor(0.0042, grad_fn=<MeanBackward0>) dev tensor(2.3981e-05, grad_fn=<SelectBackward>)
test tensor(0.0043, grad_fn=<MeanBackward0>) dev tensor(2.3024e-05, grad_fn=<SelectBackward>)
test tensor(0.0046, grad_fn=<MeanBackward0>) dev tensor(2.5164e-05, grad_fn=<SelectBackward>)
test tensor(0.0049, grad_fn=<MeanBackward0>) dev tensor(2.3652e-05, grad_fn=<SelectBackward>)
test tensor(0.0055, grad_fn=<MeanBackward0>) dev tensor(1.8712e-05, grad_fn=<SelectBackward>)
test tensor(0.0061, grad_fn=<MeanBackward0>) dev tensor(1.9510e-05, grad_fn=<SelectBackward>)
test tensor(0.0069, grad_fn=<MeanBackward0>) dev tensor(4.0444e-05, grad_fn=<SelectBackward>)
test tensor(0.0077, grad_fn=<MeanBackward0>) dev tensor(1.9573e-05, grad_fn=<SelectBackward>)
test tensor(0.0087, grad_fn=<MeanBackward0>) dev tensor(1.6652e-05, grad_fn=<SelectBackward>)
test tensor(0.0094, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0103, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0111, grad_fn=<MeanBackward0>) dev tensor(1.6726e-05, grad_fn=<SelectBackward>)
test tensor(0.0119, grad_fn=<MeanBackward0>) dev tensor(9.3860e-05, grad_fn=<SelectBackward>)
test tensor(0.0129, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-06
test tensor(0.1867, grad_fn=<MeanBackward0>) dev tensor(0.0012, grad_fn=<SelectBackward>)
test tensor(0.1806, grad_fn=<MeanBackward0>) dev tensor(0.0011, grad_fn=<SelectBackward>)
test tensor(0.1735, grad_fn=<MeanBackward0>) dev tensor(0.0011, grad_fn=<SelectBackward>)
test tensor(0.1647, grad_fn=<MeanBackward0>) dev tensor(0.0011, grad_fn=<SelectBackward>)
test tensor(0.1567, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1457, grad_fn=<MeanBackward0>) dev tensor(0.0012, grad_fn=<SelectBackward>)
test tensor(0.1375, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.1286, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1226, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.1139, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1062, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0987, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.0924, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.0881, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0825, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.0784, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0738, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0698, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0655, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0621, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0585, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0546, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0503, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0473, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0445, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0420, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0388, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0366, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0344, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0310, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0300, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0277, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
